Date,Time,Site,Tracker_ID,ID,Band,Colour_L,Colour_R,Sex,GPS_ID,Lat,Lon,Signal,Gain,Angle,Direction,Receiver,Temperature,Wind,Cloud,Precipitations,Snow_depth,Snow_hardness,Snow_water,Comments
08/03/2024,9:14,1,LD,104,2991-40554,Yellow/Black,Metal/Blue,Male,03-08-2024 NOCA 104,45.4287,-73.93804,198,40,73,STRAIGHT,NEW,-1,15,0,0,0,0,0,bird moved from strip of trees across the farm field east of the MBO back to the MBO (point taken at MBO)
10/03/2024,13:19,1,BF,120b,2991-04521,Blue/White,Metal/Red,Female,NA,45.436936,-73.930141,NA,NA,NA,NA,NA,2,10,100,2,NA,0,0,Seen by Barbara at her feeders.
11/03/2024,9:37,1,LD,120b,2991-04521,Blue/White,Metal/Red,Female,03-11-2024 NOCA 120,45.43839,-73.93147,204,40,240,UP,NEW,-2,28,80,0,6,1,2,in backyard along path in Barbara's neighborhood
13/03/2024,9:13,1,LD,104,2991-40554,Yellow/Black,Metal/Blue,Male,03-13-2024 NOCA 104,45.42764,-73.93806,209,40,207,UP,NEW,0,14,50,0,0,0,0,
13/03/2024,9:48,1,AMC,118,2991-40399,Blue/Red,Metal/Red,Female,03-13-2024 NOCA 118,45.43133,-73.93857,160,20,138,UP,OLD,1,13,80,0,0,0,0,
20/03/2024,9:39,1,AMC,118,2991-40399,Blue/Red,Metal/Red,Female,03-20-2024 NOCA 118,45.43014,-73.93768,150,40,207,UP,OLD,1,21,60,0,0,0,0,Birds were both hanging by the big cedar near the bird feeders.
20/03/2024,9:39,1,AMC,104,2991-40554,Yellow/Black,Metal/Blue,Male,03-20-2024 NOCA 118,45.43014,-73.93768,150,40,207,NA,OLD,1,21,60,0,0,0,0,
25/03/2024,9:06,1,LD,104,2991-40554,Yellow/Black,Metal/Blue,Male,03-25-2024 NOCA 104,45.42984,-73.93834,202,30,17,STRAIGHT,NEW,-3,13,0,0,0,1,1,some small patches of snow
25/03/2024,9:18,1,LD,118,2991-40399,Blue/Red,Metal/Red,Female,03-25-2024 NOCA 118,45.43109,-73.9385,209,30,56,UP,NEW,-3,13,0,0,0,1,1,
26/03/2024,14:46,1,LD,123,2991-40336,Blue/Blue,Metal/Blue,Male,03-26-2024 NOCA 123,45.4315,-73.93911,87,90,255,STRAIGHT,NEW,9,15,80,0,0,0,0,pointing towards the pond at MBO from both sides (arboretum side and farm field side).
27/03/2024,10:14,1,AMC,118,2991-40399,Blue/Red,Metal/Red,Female,03-27-2024 NOCA 118,45.43008,-73.93824,164,20,157,UP,OLD,7,9,100,0,0,0,0,Located near the feeders.
01/04/2024,10:04,1,AMC,118,2991-40399,Blue/Red,Metal/Red,Female,04-01-2024 NOCA 118,45.4307,-73.93932,130,40,2,UP,OLD,4,9,90,0,0,0,0,Near the pond area close to the station cabin.
01/04/2024,10:37,1,AMC,104,2991-40554,Yellow/Black,Metal/Blue,Male,04-01-2024 NOCA 104,45.429,-73.93858,150,30,106,UP,OLD,6,6,70,0,0,0,0,In the pines near the bench close to pond.
01/04/2024,11:39,1,AMC,123,2991-40336,Blue/Blue,Metal/Blue,Male,04-01-2024 NOCA 123,45.42869,-73.94138,140,30,248,UP,OLD,7,11,40,0,0,0,0,"Located behind the cabin where you pay to enter the arbo, there are some bird feeders there too."
03/04/2024,10:14,1,AMC,120b,2991-04521,Blue/White,Metal/Red,Female,04-03-2024 NOCA 120,45.43491,-73.92234,160,20,295,STRAIGHT,OLD,6,26,100,0,0,0,0,"Located sort of in a ditch, between the bike lane and some industrial building."
06/04/2024,11:10,1,LD,120b,2991-04521,Blue/White,Metal/Red,Female,04-06-2024 NOCA 120,45.43515,-73.92301,221,30,59,STRAIGHT,NEW,5,19,100,0,NA,1,3,No snow measurements taken but most of the ground covered with snow
07/04/2024,10:22,1,LD,118,2991-40399,Blue/Red,Metal/Red,Female,04-07-2024 NOCA 118,45.43139,-73.93865,215,30,356,STRAIGHT,NEW,5,11,0,0,0,1,3,No snow near measuring stick but large patches covering most of the ground
07/04/2024,10:35,1,LD,104,2991-40554,Yellow/Black,Metal/Blue,Male,04-07-2024 NOCA 104,45.43071,-73.9391,197,40,244,STRAIGHT,NEW,5,11,0,0,0,1,3,
10/04/2024,14:59,1,AMC,120b,2991-04521,Blue/White,Metal/Red,Female,04-10-2024 NOCA 120,45.43571,-73.92302,120,40,194,UP,OLD,14,8,70,0,0,0,0,In backyard between bike lane and Grenier street
14/04/2024,9:46,1,AMC,118,2991-40399,Blue/Red,Metal/Red,Female,04-14-2024 NOCA 118,45.43466,-73.9305,218,30,102,STRAIGHT,NEW,8,13,20,0,0,0,0,In cedars near someone's backyard at the end of the fields near MBO.
