bird.num,motusTagID,dos,tspre,tspost,tsmax.dt,meanpre,meanpost,varpre,varpost,cpt,batch,postfilter,time,Dates,sunrise.UTC,cpt.sr,postfiltercol,postfilterlntyp
7,90363,25,9.7,0,40:45.5,0.751141069,0.62347675,0.18942489,0.098802352,30:46.0,12,bad,9.5,2024-12-09,2024-12-09 12:25,-174.7158617,red,2
5,77881,173,0,9.7,07:17.8,0.533386947,1.02044441,0.080430962,0.49472686,31:26.3,6,good,9.516666667,2024-04-25,2024-04-25 9:53,-22.412285,black,1
1,68906,185,0,7.3,07:22.7,0.652743268,1.237257508,0.100710129,0.610389968,32:54.4,1,good,9.533333333,2023-04-14,2023-04-14 10:13,-40.892545,black,1
1,68906,188,0,7.3,07:15.2,0.696291714,1.207872163,0.098238412,0.741964094,32:47.2,1,good,9.533333333,2023-04-17,2023-04-17 10:08,-35.72937333,black,1
1,68906,189,7.3,7.3,06:43.2,0.655606417,1.313767572,0.093183964,0.724822189,33:57.4,1,good,9.55,2023-04-18,2023-04-18 10:06,-32.80952,black,1
5,68925,157,7.3,0,41:45.6,0.545953195,1.255230925,0.086587334,0.645949647,33:58.5,4,good,9.55,2023-04-14,2023-04-14 10:13,-39.82561667,black,1
5,68925,158,7.3,0,00:37.9,0.648648953,1.067330963,0.124588708,0.649432269,33:43.7,4,good,9.55,2023-04-15,2023-04-15 10:12,-38.30528,black,1
5,77881,165,0,9.7,15:04.2,0.52630892,1.152683518,0.077002426,0.544635291,33:41.2,6,good,9.55,2024-04-17,2024-04-17 10:07,-33.529495,black,1
2,68917,172,0,7.3,10:12.4,0.634012499,1.527559072,0.095512577,0.942875577,35:36.8,3,good,9.583333333,2023-04-16,2023-04-16 10:10,-34.65398167,black,1
2,68917,173,0,7.3,08:29.6,0.577067874,1.218802886,0.095748697,0.811636449,35:50.8,3,good,9.583333333,2023-04-17,2023-04-17 10:08,-32.67057833,black,1
5,68925,159,0,7.3,24:13.1,0.603892387,1.530714994,0.101357221,0.858595035,35:58.3,4,good,9.583333333,2023-04-16,2023-04-16 10:10,-34.29455,black,1
5,68925,161,7.3,7.3,03:56.7,0.510190439,1.385973049,0.073500335,0.817327059,35:51.3,4,good,9.583333333,2023-04-18,2023-04-18 10:06,-30.91118833,black,1
1,68906,182,7.3,7.3,17:56.8,0.649967881,1.057622976,0.102268069,0.486026467,36:18.2,1,good,9.6,2023-04-11,2023-04-11 10:19,-42.89734833,black,1
1,68906,184,7.3,87.59,13:51.9,0.672493269,1.325097844,0.086034167,0.776967737,35:59.2,1,good,9.6,2023-04-13,2023-04-13 10:15,-39.61265333,black,1
2,68917,171,0,7.3,11:04.1,0.589950707,1.429184076,0.09924611,0.876716753,36:13.9,3,good,9.6,2023-04-15,2023-04-15 10:12,-35.80226167,black,1
5,77881,166,0,9.7,05:26.2,0.709215672,1.36622246,0.126341957,0.678320366,36:54.4,6,good,9.6,2024-04-18,2024-04-18 10:05,-28.59348667,black,1
7,90363,150,0,9.7,14:39.1,0.63898182,1.254195942,0.093463321,0.896850283,36:25.9,12,good,9.6,2025-04-13,2025-04-13 10:14,-38.301185,black,1
1,68906,186,0,7.3,11:57.7,0.747887205,1.33332385,0.119837903,0.696740156,37:22.2,1,good,9.616666667,2023-04-15,2023-04-15 10:12,-34.66408,black,1
5,77881,179,19.4,38.8,40:09.9,0.630843635,0.984363178,0.094665131,0.209272724,38:08.8,6,good,9.633333333,2024-05-01,2024-05-01 9:44,-6.453588335,black,1
3,68913,46,0,7.3,28:33.1,0.958013099,0.614477397,0.198628644,0.086059869,39:02.4,2,bad,9.65,2022-12-07,2022-12-07 12:23,-164.060555,red,2
3,68913,173,7.3,7.3,15:28.7,0.643950468,0.590926938,0.084441658,0.071227142,39:18.3,2,bad,9.65,2023-04-13,2023-04-13 10:15,-36.29538833,red,2
5,77881,171,0,9.7,15:13.0,0.5860824,0.967921621,0.065037963,0.520444899,39:13.4,6,good,9.65,2024-04-23,2024-04-23 9:57,-17.8762,black,1
2,90345,161,0,9.7,16:29.2,0.668345594,1.20984871,0.087764302,0.733477007,39:13.9,11,good,9.65,2025-04-12,2025-04-12 10:16,-37.302305,black,1
2,90345,162,9.7,0,14:30.4,0.64698832,1.07943446,0.088649537,0.658912657,39:01.8,11,good,9.65,2025-04-13,2025-04-13 10:14,-35.70380167,black,1
1,68906,33,0,7.3,43:41.2,0.6806973,0.946867529,0.096537081,0.186831378,40:41.4,1,good,9.666666667,2022-11-13,2022-11-13 11:53,-132.426965,black,1
5,68920,36,0,7.3,28:33.2,0.658714331,0.476301414,0.103616332,0.072571319,40:51.9,3,bad,9.666666667,2022-12-07,2022-12-07 12:23,-162.2344717,red,2
5,68925,155,0,7.3,17:19.6,0.598835504,1.51321265,0.142075552,0.896968227,40:53.4,4,good,9.666666667,2023-04-12,2023-04-12 10:17,-36.51064,black,1
1,68906,178,7.3,518.22,15:40.7,0.742994431,1.200907611,0.092017726,0.454144421,41:12.7,1,good,9.683333333,2023-04-07,2023-04-07 10:26,-45.33840167,black,1
2,68917,18,7.3,0,32:28.4,0.486856358,0.7741074,0.094904479,0.145460173,41:45.3,3,good,9.683333333,2022-11-13,2022-11-13 11:53,-131.3613917,black,1
2,68917,169,0,7.3,15:35.3,0.687591502,1.325967593,0.0999611,0.955310645,41:28.9,3,good,9.683333333,2023-04-13,2023-04-13 10:15,-34.11828333,black,1
8,77874,213,0,0,13:00.5,0.57218966,0.499024842,0.093323056,0.094391672,41:42.2,5,bad,9.683333333,2024-05-30,2024-05-30 9:13,28.60314333,red,2
8,77874,220,0,9.7,09:36.0,0.630159964,0.569505546,0.098566598,0.094773476,41:51.2,5,bad,9.683333333,2024-06-06,2024-06-06 9:09,32.18602333,red,2
2,68907,36,0,5.55,49:23.8,0.469345191,0.796177163,0.113263823,0.137229551,42:20.9,1,good,9.7,2022-11-13,2022-11-13 11:53,-130.76813,black,1
