"","Disp.","Band","Species","Wing","Age","Aged","Sex","Sexed","Fat","Weight","Date","Time","Bander","Scribe","Net","Notes","Exported","Valid","Invalid","Errors","History","Age.1","Sex.1","Location","Status","Condition","Code","Program","F","T","R2","3","R4","R5","R6","7","UC","S","SL","TC","SC","SD","CE","TP","OT","AL","TA","Z","NA","NA.1","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA.10","NA.11","NA.12","NA.13","NA.14","NA.15","NA.16","NA.17","NA.18","NA.19","NA.20","Replaced Band Number for Disposition 5 captures","DET Category Override","Aux Marker Type","Is Aux Marker Coded?","Aux Marker Code","Aux Marker Band Color","Aux Marker Code Color","Left Leg Color 1","Left Leg Color 2","Left Leg Color 3","R Leg Color 1","R Leg Color 2","R Leg Color 3","Last Bandit Export Timestamp","Count Bandit Exports","Creation Timestamp","Modify Timestamp","DET Category","To Be Deleted","Days since most recent prior capture","DET Date","Original Capture ID","NA.21","NA.22","NA.23","NA.24","NA.25","NA.26","NA.27","NA.28","NA.29","NA.30","NA.31","NA.32","NA.33","NA.34","NA.35","NA.36","NA.37","NA.38","Flags","Year","Season","week"
"51520","1","253123769","NOCA","86","0","1","5","1","2","42","2012-12-03","11:10","SID","GEG","V4","MOLTING S5+6","FALSE","","","FALSE","FALSE","","","MBO","300","","","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","12/3/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"WINT",49
"51625","1","253123770","NOCA","92","0","1","4","1","2","47.6","2012-12-07","13:00","NIB","ALH","V4","","FALSE","","","FALSE","FALSE","","","MBO","300","","","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","12/7/2012","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2012,"WINT",49
"51735","R","253123766","NOCA","89","5","1","5","1","5","50","2013-02-22","17:00","SID","SID","V4","ret s2,s4,s6 on right, s3, s6 on left","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Return","","105","2/22/2013","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2013,"WINT",8
"51821","1","253123771","NOCA","92","1","1","5","1","0","41.2","2013-03-10","08:50","LIK","LIK","V4","","FALSE","","","FALSE","FALSE","","","MBO","300","","","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","3/10/2013","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2013,"WINT",10
"51870","1","253123772","NOCA","91","1","1","4","1","0","40.8","2013-03-22","12:00","NIB","ALH","V4","","FALSE","","","FALSE","FALSE","","","MBO","300","","","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","3/22/2013","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2013,"WINT",12
"52141","1","253123773","NOCA","89","5","1","5","1","0","40.3","2013-03-27","13:20","NIB","SID","V5","retained s4 to s6","FALSE","","","FALSE","FALSE","","","MBO","300","","","WINTER2012-13","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","3/27/2013","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2013,"WINT",13
"52210","1","253123783","NOCA","89","1","1","5","1","0","37.9","2013-04-19","08:00","SID","BEP","A1","","FALSE","","","FALSE","FALSE","","","MBO","300","","","SMMP2013","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Banded","","","4/19/2013","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2013,"SMMP",16
"52276","R","253123766","NOCA","88","5","1","5","1","0","42.5","2013-04-22","07:50","NIB","LIF","E1","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","SMMP2013","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","59","4/22/2013","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2013,"SMMP",16
"52299","R","253123783","NOCA","89","1","1","5","1","0","37.3","2013-04-23","07:00","CLB","ACM","E1","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","SMMP2013","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","4","4/23/2013","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2013,"SMMP",17
"52304","R","253123766","NOCA","90","5","1","5","1","0","40.8","2013-04-23","07:30","CLB","DDA","D3","","FALSE","","","FALSE","FALSE","","","MBO","300","7","89","SMMP2013","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","Repeat","","1","4/23/2013","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2013,"SMMP",17
